symbol,name,slug,marketcap,sector,mc
DOS,DOS Network,dos-network,22686113.2,Data Management,10
ANJ,Aragon Court,aragon-court,22592062.48,Misc,10
ESS,Essentia,essentia-1,22321601.16,None,10
FCT,Factom,factom,22316911.27,Enterprise and BaaS,10
SNGLS,SingularDTV,singulardtv,22314766.29,Content Creation and Distribution,10
NCT,PolySwarm,polyswarm,21914548.89,Security,10
ROOBEE,ROOBEE,roobee,21799970.49,Asset Management,10
SLP,Small Love Potion,small-love-potion,21694227.32,Gaming,10
CGG,CGG,cgg,21374608.05,Gaming,10
MAN,Matrix,matrix,21267655.36,AI,10
VEE,BlockV,blockv,21261554.69,None,10
CLO,Callisto Network,callisto-network,20974006.76,None,10
BOLT,BOLT,bolt,20833018.3,Payment Platforms,10
UNISTAKE,Unistake,unistake,20788046.38,Decentralized Exchanges,10
DOWS,Shadows,shadows,20720493.65,Derivatives,10
AUC,Auctus,auctus,20692670.81,None,10
EGT,Egretia,egretia,20549507.09,Application Development,10
SWRV,Swerve,swerve,20455852.72,Decentralized Exchanges,10
ABYSS,The Abyss,the-abyss,20329279.99,Gaming,10
BURST,Burst,burst,20026784.08,Smart Contract Platforms,10
UBQ,Ubiq,ubiq,19824938.57,Enterprise and BaaS,10
COVAL,Circuits of Value,circuits-of-value,19816671.11,None,10
YFV,YFValue,yfvalue,19795702.68,None,10
L2,Leverj,leverj,19570802.76,Derivatives,10
PPC,Peercoin,peercoin,19557094.1,Currencies,10
SRN,SIRIN LABS,sirin-labs,19504933.5,None,10
CV,carVertical,carvertical,19406843.39,None,10
TRADE,Unitrade,unitrade,19079695.81,None,10
COV,Covesting,covesting-1,18970627.84,None,10
MWAT,Restart Energy MWAT,restart-energy,18832618.23,Energy,10
PICKLE,Pickle Finance,pickle-finance,18607862.67,Asset Management,10
DTA,DATA,data,18270681.89,Advertising,10
MFG,SyncFab,syncfab-1,18191795.91,None,10
FLO,FLO,flo,17575635.33,Application Development,10
UIP,UnlimitedIP,unlimitedip,17509760.46,Content Creation and Distribution,10
PMA,PumaPay,pumapay,17331575.93,Payment Platforms,10
CET,CoinEx Token,coinex-token,17086471.85,None,10
SWFTC,SwftCoin,swftcoin,17000242.49,None,10
PRT,Portion,portion,16928670.09,Tokenization,10
RUFF,Ruff,ruff,16855674.59,IoT,10
BAC,Basis Cash,basis-cash,16822813.3,Lending,10
