,name,slug,mc,sector,category,tagline,desc
RFOX,RedFOX Labs,redfox-labs,149000799.6482637,Tokenization,Media and Entertainment,,
TWT,Trust Wallet Token,trust-wallet-token,147781954.8665788,Payment Platforms,Financial,Official wallet of Binance Smart Chain,"The Trust Wallet mobile app is a multi-currency crypto wallet that gives users access to a wide range of digital assets, and has a built-in DEX (for android users). Trust Wallet joined the Binance ecosystem in 2018 and is now the official crypto wallet of Binance Smart Chain (BSC).

Trust Wallet Token (TWT) is a utility and governance token, native to the Trust Wallet and available on both the BEP-2 (Binance Chain) and BEP-20 (Binance Smart Chain) standards.

Trust Wallet’s core modules are open-source and available for any developer to build on. The digital wallet mobile app has fiat on-boarding, allowing users to purchase crypto with credit cards. Trust Wallet has integrated with other DEXs such as Pancake Swap, Uniswap or Binance DEX so that users can buy, hold, and exchange their crypto-assets using a single interface. Trust Wallet supports buying, exchanging, and staking 160,000 crypto assets on 40 blockchains.

The project’s overarching goal is to become the interface to all crypto by making it easier for users to access crypto services like dapps."
META,Metadium,metadium,147162501.60955966,Identity,Services,Identity protocol,
SUSD,Synthetix USD,synthetix-usd,143286109.9660696,Stablecoins,Financial,A dollar-pegged stablecoin on the Synthetix Network,Synthetix USD is a dollar-pegged stablecoin created on the Synthetix Network platform with the native SNX token. 
WNXM,Wrapped Nexus Mutual,wrapped-nexus-mutual,142697654.2473359,Misc,Financial,,
ALICE,Alice,alice,139599118.64167395,Gaming,Media and Entertainment,,
QUICK,QuickSwap,quickswap,138984486.29037336,Decentralized Exchanges,Financial,,"QuickSwap is a fork of Uniswap that runs on the Polygon network (formerly Matic Network), a Layer-2 scaling solution for Ethereum. Polygon features lower transaction fees compared to the Ethereum mainnet, enabling QuickSwap to facilitate token swaps at a lower cost relative to exchanges like Uniswap v2. QuickSwap's token, QUICK, gives users governance rights over the protocol."
EDC,EducoinV,educoinv,,,,,
RDD,ReddCoin,reddcoin,138025374.7955954,Currencies,Payments,A cryptocurrency for social network interaction. ,Reddcoin is a cryptocurrency for online social platforms built from a code base fork of Litecoin. 
ROSE,Oasis Network,oasis-labs,137581282.0345324,Smart Contract Platforms,Infrastructure,Privacy preserving cloud computing platform ,"Oasis Network is a privacy-focused smart contract platform for open finance built using the Cosmos SDK. The project prioritizes applications and use-cases that promote data privacy and user confidentiality. It aims to achieve this goal by separating its consensus layer from its contract execution layer while providing a built-in interface connecting the two for privacy-preserving computation. The consensus layer acts as a hub that uses a Proof-of-Stake (PoS) mechanism to secure the network and reach a consensus on transaction validity. The execution layer consists of multiple, parallel runtimes (called ParaTimes) for specialized computation needs that each plug into the consensus layer."
QKC,Quarkchain,quarkchain,132515127.37674129,Smart Contract Platforms,Infrastructure,High capacity peer-to-peer transfers,QuarkChain focuses on high throughput transactions and Turing complete smart contracts by combining a two-layer blockchain and sharding technology on top of the Ethereum Virtual Machine. 
TRAC,Origintrail,origintrail,132219392.89847575,Data Management,Services,Supply chain platform,
POWR,Power Ledger,power-ledger,130874036.01033199,Energy,Services,Decentralized energy marketplace,Power Ledger is building a platform with the goal of creating decentralized energy markets
BTM,Bitcoin Minor,bitcoin-minor,,,,A virtual fork of Bitcoin,"Bitcoin Minor is a Bitcoin fork focused on CPU mining and micro-payments.
"
TOMO,TomoChain,tomochain,127196415.92718935,Smart Contract Platforms,Infrastructure,Scalability solution for Dapps,"TomoChain is a blockchain network that uses a delegated proof of stake consensus mechanism comprised of 150 masternodes. TomoChain aims to be a public EVM-compatible blockchain with the following advantages: low transaction fee, fast confirmation time, double validation, and randomization for security guarantees."
PPT,Populous,populous,126927102.3436125,Payment Platforms,Financial, A peer-to-peer invoice processing protocol,"Populous is a global, peer-to-peer invoice trading platform using a blockchain protocol. "
SCRT,SecretCoin,secretcoin,,,,,
GUSD,Gemini Dollar,gemini-dollar,126153740.59966226,Stablecoins,Payments,Dollar backed stablecoin,"The Gemini Dollar (GUSD) is the one of the world’s first regulated <a href=""https://messari.io/article/stablecoins"">stablecoins</a>. It is issued by Gemini Trust Company LLC, a New York Trust Company. Gemini Dollars correspond on a 1:1 basis with US Dollars in order to provide a stable currency for transactions. GUSD is an <a href=""https://messari.io/article/erc-20"">ERC-20</a> and is built on and can be transferred on the Ethereum network."
BADGER,Badger DAO,badger-dao,126131135.13661467,Decentralized Exchanges,Financial,,
DNT,district0x,district0x,124386001.01761891,Application Development,Infrastructure,Decentralized community run marketplaces,"District0x is a platform that aims to allow developers to create decentralized marketplaces and communities, know as ""Districts."" These Districts strive to solve the coordination issues and inefficiencies seen within most distributed markets. From a structural standpoint, Districts exist on top of an open-source framework of <a href=""https://messari.io/asset/ethereum"">Ethereum</a> smart contracts and front-end libraries collectively referred to as d0xINFRA. The platform also features an <a href=""https://messari.io/article/erc-20"">ERC-20</a> token, DNT, that owners can use to access and even help govern (through a stake-weighted voting mechanism) specific communities."
SFP,SafePal,safepal,124343401.09197764,Wallet,Infrastructure,,
HNS,Handshake,handshake,122328013.29409933,Misc,Infrastructure,Decentralized certificate authority and naming,"Handshake is a decentralized naming protocol for allocating ownership rights to Top Level Domains (TLD), such as a .com or a .org, which one can use for websites, email addresses, or crypto addresses. Handshake users can purchase the rights to a TLD through an auction system, where participants submit bids in the form of HNS tokens. The winning bidder then registers the TLD under their cryptographic keys by entering the pair into Handshake's <a href=""https://messari.io/resource/proof-of-work"">Proof-of-Work</a> (PoW) blockchain, which acts as a distributed alternative to Certificate Authorities (CAs)."
PRQ,PARSIQ,parsiq,121268407.48293452,,,,
ADX,Adex,adex,120848101.40158786,Advertising,Media and Entertainment,,
LYXE,LUKSO,lukso,118174250.75281867,Collectibles,Infrastructure,Blockchain Infrastructure,
KIN,Kin,kin,116241318.99772522,Social Media,Media and Entertainment,Social based payments for digital services,"Kin is the native cryptocurrency for the Kik social media platform and is a new way to engage, grow, and monetize digital communities. It is used by millions of consumers across an ecosystem of dozens of applications and services. Kin allows developers and users get paid for the value they create online."
PAXG,PAX Gold,pax-gold,114624458.46976423,,,,
SWAP,TrustSwap,trustswap,113978735.25053376,,,,
FRAX,FRAX,frax,111702250.70283656,Stablecoins,Payments,,
RAMP,RAMP,ramp,110196220.25690901,Interoperability,Financial,,
AION,The Open Application Network,the-open-application-network,108355908.9278591,Smart Contract Platforms,Infrastructure,"An open-source, public infrastructure for the creation and hosting of Open Apps","The Open Application Network (The OAN) is an open-source public infrastructure for the creation and hosting of Open Apps. Open Apps are programs built on open standards that strive to put users back in control and are universally accessible across platforms. Aion is the digital asset of The OAN and is used to secure and access The OAN. As a public infrastructure, a global community of individuals, software companies, and institutions secure and maintain the operations of The OAN. These functions are enabled and incentivized using Aion."
ATRI,Atari,atari,107396528.42294398,,,,
RLY,Rally,rally,105665661.37302226,Tokenization,Media and Entertainment,Creators building next-gen engagement economies,
MFT,Mainframe,mainframe,105173219.09774242,Lending,Financial,,"The Mainframe Lending Protocol allows anyone to borrow against their crypto. Mainframe uses a bond-like instrument, representing an on-chain obligation that settles on a specific future date enabling fixed-rate lending and borrowing. "
TRB,Tellor,tellor,101458058.54659884,Data Management,Infrastructure,,
CHR,Chromia,chromia,100199310.80175766,Application Development,Infrastructure,,Chromia is creating a platform with a technical solution that combines blockchain and traditional relational databases to allow users to create decentralized applications. 
LOC,LockTrip,locktrip,99801615.10441504,Payment Platforms,Payments,,
BURGER,Burger Swap,burger-swap,99602655.95324802,,,,
GAS,NEO GAS,neo-gas,97136479.29462801,Smart Contract Platforms,Infrastructure,,
TROY,Troy Trade,troy-trade,96122116.79832047,Asset Management,Financial,,"Troy Trade is a prime broker that focuses on crypto trading and asset management. It provides crypto brokerage services for institutional clients and traders, including spot and margin trading, derivatives, data, custody, lending, and staking."
BCN,Bytecoin,bytecoin,94210269.43824255,Currencies,Payments,Private peer-to-peer electronic cash,Bytecoin is a privacy-focused peer-to-peer cryptocurrency implementation of CryptoNote. 
SNM,SONM,sonm,93483291.77144913,Shared Compute,Services,Decentralized computing,"Sonm is a blockchain network that provides cloud services based on distributed customer level hardware (i.e. PCs, mining equipment, and servers). Individuals can either rent out their own hardware or use someone’s computing power in exchange for the SONM blockchain's native cryptocurrency. "
LOOM,Loom Network,loom-network,93318011.77968743,Enterprise and BaaS,Infrastructure,Sidechains for blockchain games,"Loom Network is a Layer-2 sidechain focused on supporting data management solutions for healthcare providers and government departments. The project was once a scaling solution for Ethereum that became a popular platform for blockchain-based games as they tend to require more throughput and lower fees. Loom has since shifted to enterprise use-cases, claiming that incentivizing dApp developers to join a new network was not an ideal growth strategy. Loom's primary chain, called Basechain, uses a delegated Proof-of-Stake (DPoS) model to validate transactions and secure the network."
DDX,DerivaDAO,derivadao,91463211.29425798,Decentralized exchanges,Financial,DDX is the native token of DerivaDEX and the governance token of the DerivaDAO,
FIRO,Firo,firo,90966201.8160946,Currencies,Payments,Privacy focused payments protocol,"Firo, formerly known as Zcoin, is a privacy focused cryptocurrency that utilizes zero-knowledge proofs which allows users to destroy coins and then redeem them later for brand new ones with no transaction history.

Its research created the Lelantus privacy protocol which supports high anonymity sets without requiring trusted setup and relying only on standard cryptographic assumptions. Lelantus' innovation in combining one-out-of-many proofs with hidden amounts have also been used in Monero's Triptych protocol and Beam's Lelantus-MW. Firo also utilises Dandelion++ to obscure the originating IP of transactions without relying on a external services such as Tor/i2P.

Firo developed and utilizes Merkle Tree Proofs (MTP) as its Proof-of-Work algorithm which aims to be memory hard with fast verification to encourage mining using commodity hardware. The blockchain is also further secured with LLMQ ChainLocks. The Firo blockchain was used in the Thai Democrat Party Elections in 2018 to elect its party leader with over 127,000+ votes cast nationwide."
PNK,Kleros,kleros-1,89581506.83732249,,,Arbitration platform,
LIT,Lithiumcoin,lithiumcoin,,,,,
SUPER,SuperCoin,supercoin,47332094.71949662,,,,
SLP,Small Love Potion,small-love-potion,88195382.41602872,Gaming,Media and Entertainment,,
UOS,Ultra,ultra,87868108.69505613,Gaming,Media and Entertainment,A new era for gamers,"Ultra is an entertainment platform providing a variety of games industry services under a single roof, accessible through a single login. Gamers are able to discover, buy, and play games, watch live-streaming feeds, interact with their favorite influencers, participate in contests, compete in tournaments, and more."
,Game Protocol,game-protocol,,,,Decentralized gaming ecosystem,
IRIS,IRISnet,iris-network,84682475.5353967,Interoperability,Infrastructure,"An interchain service infrastructure and protocol, built on Cosmos. ","IRISnet is a service infrastructure and protocol built using the Cosmos SDK and Tendermint consensus layer. The aims to be one of the first regional Cosmos network hubs outside of the Cosmos Hub. The IRIS Hub, an independent Proof-of-Stake (PoS) blockchain, will serve as the ""center"" of the IRIS network that will connect the other zones within the IRIS network both to each other and to the greater Cosmos ecosystem. IRISnet's service infrastructure and modules for adjacent zones will aim to support DeFi applications."
GALA,Gala,gala,84156007.81548649,,,,
NRG,Energi,energi,83249099.40524134,Smart Contract Platforms,Financial,A Proof-of-Stake smart contract platform designed to leverage Ethereum applications,"Launched in April 2018, Energi is a <a href=""https://messari.io/resource/proof-of-stake"">Proof of Stake (PoS)</a> cryptocurrency featuring decentralized governance, masternodes, and a treasury that funds a team of professionals. With a smart contract platform upgrade slated for Q4 2019, Energi 3.0 plans to support existing dApps written for Ethereum."
MXC,MXC,machine-xchange-coin,83096893.87442459,,,,
EURS,Stasis Euro,stasis-euro,83072820.44704628,Stablecoins,Financial,A full-reserve backed Euro stablecoin,"Stasis Euro is a Euro stablecoin backed 1-for-1 by verifiable and auditable currency reserves.
"
REQ,Request Network,request-network,82185951.42331822,Misc,Financial,Payment requests platform,
CRU,Curium,curium,,,,,
EXRD,RADIX,radix,81661424.5479625,Smart Contract Platforms,Infrastructure,,"Radix is a public, decentralized ledger built to support the creation of applications, with a focus on decentralized finance (DeFi) use cases. It uses a new consensus algorithm called Cerberus to help secure the network while giving it a higher level of performance (i.e., scalability) that could be desirable to specific applications. Radix also features its own smart contract execution environment (i.e., virtual machine) dubbed the Radix Engine, which allows developers to map business assets to pre-built Radix components. The project is aiming to be an alternative base layer to blockchains like Ethereum for DeFi applications. Radix has a native token, XRD, that holders can use to participate in the network's Proof-of-Stake (PoS) consensus mechanism and earn inflation rewards. Radix's current token, e-Radix or eXRD, is a placeholder ERC-20 token on Ethereum that will eventually be exchanged for mainnet XRD tokens."
LAMB,Lambda,lambda,81568229.25464013,File Storage,Services,Decentralized cloud storage,
GRS,Groestlcoin,groestlcoin,81141659.15207836,Currencies,Payments,"Low-fee, privacy focused transactions",Groestlcoin is a PoW blockchain focused on low-fee transactions and privacy. The project was launched in 2014 and allows for SEGWIT and Lightning network transactions.
ELA,Elastos,elastos,79703994.98928425,Data management,Infrastructure,Content focused decentralized internet,"Elastos is a blockchain project that aims to create a ""decentralized internet"" for content such as articles, movies, and games. Digital IDs are used to manage ownership on the platform. "
RGT,Rari Governance Token,rari-governance-token,78844188.23400089,Asset Management,Financial,Governance token native to the Rari Protocol,
LON,Tokenlon,tokenlon,78457009.2570544,Decentralized Exchanges,Financial,,Tokenlon is a decentralized exchange and payment settlement protocol based on an improved off-chain Request for Quotation (RFQ) architecture built on the 0x protocol.
TT,Thunder Token,thunder-token,76285178.52793513,Smart Contract Platforms,Infrastructure,A high-throughput EVM compatible blockchain ,"ThunderCore combines a centralized approach with a decentralized approach to achieve the scalability and speed of centralized approaches, while maintaining the decentralized nature of the blockchain"
DATA,Streamr,streamr,76027345.91509418,Data Management,Services,Data management and data marketplace,"Streamr’s mission is to replace centralized message brokers with a global, decentralized peer-to-peer network for real-time data. By relying on cryptography instead of trust, the open-source network enables data sharing and monetization in IoT and smart cities, business consortia, individual crowd selling through Data Unions and the Web 3.0.
"
CREAM,Cream,cream,76017611.36120023,Lending,Financial,Decentralized lending platform,"Cream is a lending platform built on Ethereum that enables users to permissionlessly borrow or lend from a pool of assets. Rather than interest rates being set by individuals, they are determined algorithmically based on the proportion of assets lent out. Cream is a fork of Compound. "
YFII,DFI.Money,dfi-money,75360655.39404935,Asset Management,Financial,,"DFI.Money is a fork of yearn.finance that implemented the YIP-8 proposal previously rejected by YFI holders. With the YIP-8 implementation, DFI.Money's token aptly named YFII undergoes a weekly halving in its emission schedule. Similar to yearn.finance and its YFI token, DFI.Money is an aggregator of various lending protocols that automatically directs user deposits towards lending pools generating the highest yield. Its YFII is used for governance over the network and is distributed through voting participation and liquidity provision on Curve or Balance."
AE,Aeternity,aeternity,75179440.79123268,Smart Contract Platforms,Infrastructure,A decentralized oracle blockchain protocol for smart contracts ,Aeternity is a blockchain-based oracle mechanism for smart contracts focused on low-latency data transfer.
IGNIS,Ignis,ignis,75170900.3273762,Application Development,Infrastructure,Smart contract Ardor child chain,"Ignis is the public and permissionless core child chain of the Ardor platform. Ignis enables anyone to deploy lightweight smart contracts in Java and automate on-off chain business processes using a library of more than 250+ APIs. Application and service end-users never need to directly interact with the blockchain because the “bundling” system allows businesses and dapp owners to sponsor transaction validation fees for their users. 

The project is maintained by the developers at Jelurida and receives frequent feature upgrades.  "
BEL,Bella,bella,75041228.42014687,Asset Management,Financial,,
BOND,BarnBridge,barnbridge,74398018.7667049,Derivatives,Financial,,"BarnBridge is a risk tokenization protocol. Its applications allow users to hedge factors such as yield sensitivity or asset price volatility by tokenizing various levels of risk exposure to a given underlying liquidity pool. These tokenized positions, referred to as either senior or junior tranches, are then as liquid as any other ERC-721 or ERC-20 token, respectively."
DEGO,DEGO,dego,,,Infrastructure,Decentralized NFT infrastructure,
WHALE,Whale,whale,74175551.77866933,Misc,Financial,,"The $WHALE token is a social token, created by WhaleShark, one of the largest individual buyers of NFTs in the crypto market. WHALE tokens are indirectly underpinned by all of WhaleShark’s NFT assets, which are held in an address known as “The Vault” and are actively managed by WhaleShark."
CORE,cVault.finance,cvault-finance,72258592.43522651,,,,
bzrx,bZx Network,bzx-network,71197769.41485438,Lending,Financial,"Decentralized lending, trading, and borrowing protocol","bZx defines a protocol for decentralized lending, trading, and borrowing. It employs a hybrid order model, where third-party relayers each maintain their own order book while orders are settled on-chain. "
KDA,Kadena,kadena,70789547.95072384,Smart Contract Platforms,Infrastructure,Public and private smart contract platforms focused on scalability and smarter smart contracts,"Kadena is a public blockchain that aims to optimize for scalability and features a new smart contract language, dubbed Pact, which comes equipped with formal verification and upgradeable smart contracts. Kadena also uses a new Proof-of-Work (PoW) consensus mechanism called Chainweb that consists of multiple individually mined chains working in parallel to execute network transactions. This design theoretically supports a high-transaction throughput at the base-layer without the need for any second-layer scalability or functionality solutions."
DVI,Dvision Network,dvision-network,70758575.33943176,Gaming,Media and Entertainment,Blockchain-based VR content ecosystem,"Dvision Network is a new virtual reality content ecosystem that utilizes blockchain technology, extracting the synergies of the VR-blockchain convergence. Dvision Network presents a new virtual reality world that can lead an affluent life at the very center of the ICT based fourth industrial revolution."
WICC,WaykiChain,waykichain,70395602.93701267,Smart Contract Platforms,Infrastructure,,
BIFI,Bitcoin File,bitcoin-file,,,,A PoS Bitcoin fork focused on smart contracts and IPFS integration ,"Bitcoin File is a Bitcoin fork focused on smart contracts and integrating the InterPlanetary File System.
"
LTO,LTO Network,lto-network,69340813.42455764,Enterprise and BaaS,Infrastructure,Blockchain for B2B Collaboration,"LTO Network is a hybrid blockchain designed for trustless B2B collaboration. The private layer is for data sharing and process automation (each process residing on its own miniature ad-hoc permissionless private chain). The public layer acts as a global security settlement layer — an immutable digital notary. This hybrid approach makes LTO Network GDPR and data privacy compliant, as well as scalable and ready for adoption."
SOLVE,Solve Care,solve-care,68678463.36892995,Healthcare,Services,A healthcare services optimization blockchain ,Solve Care is a healthcare blockchain designed to improve the way healthcare is delivered and managed.
AKRO,Akropolis,akropolis,67893991.05279028,Lending,Financial,Decentralized and autonomous community economies - lending and pensions made simple. An easy to use interface for Group Financial Operations and decision-making.,"Akropolis is a domain-specific protocol that allows users to save in groups and get access to cheap uncollateralized loans, pensions and other financial services. Akropolis tokenizes credit unions and allows user groups to get uncollateralized loans, provide capital to pools, and earn interest out of it. "
WTC,Waltonchain,waltonchain,66810947.92758312,IoT,Infrastructure,IoT focused blockchain,Waltonchain is a public distributed ledger created for enterprise use case with a focus on Internet of Things (IoT).
RFR,Refereum,refereum,66451201.21636014,Gaming,Media and Entertainment,A blockchain-based gaming rewards and marketing platform.,Refereum's mission was to create a blockchain-based gaming rewards and marketing platform.
BLZ,Bluzelle,bluzelle,66258502.556808494,File Storage,Services,"Decentralized, on-demand, scalable database services","Bluzelle is a decentralized service provider that aims to allow users to create on-demand, scalable databases for blockchain applications."
VSP,VSP,vsp,65662667.98653641,Decentralized Exchanges,Financial,,
EDO,Eidoo,eidoo,65596295.01170913,Centralized Exchanges,Financial,An online multi-crypto wallet and exchange service,Eidoo is a multi-asset cryptocurrency wallet and exchange service with the native EDO token. 
CTK,Cashtakers,cashtakers,,,,,
BEAM,Beam,beam,63985143.54451967,Wallet,Payments,,
PIVX,PIVX,pivx,63698587.57913706,Currencies,Payments,Private Instant Verified Transaction,"PIVX (Private Instant Verified Transaction) is a privacy-oriented, community-governed fork of DASH."
DIA,DIA,dia,62660585.394932985,Data Management,Infrastructure,,
PRO,Propy,propy,62549574.58740415,Payment Platforms,Payments,Marketplace for cross-border real estate transactions,
NULS,NULS,nuls,62303503.94768391,Enterprise and BaaS,Infrastructure,Adaptable enterprise blockchain,NULS focuses on easy to deploy and adaptable enterprise blockchain solutions. 
TVK,Terra Virtua Kolect,terra-virtua-kolect,61512383.7600152,Tokenization,Media and Entertainment,,
VRA,Verasity,verasity-1,61508382.054002084,,,,
DAD,DAD,dad,61362311.26047221,,,,
BFT,BnkToTheFuture,bnktothefuture,61014747.294944644,Asset Management,Financial,A token for the BnkToTheFuture global online investment platform,BFT is the native token for the BnkToTheFuture online investment platform and venture fund. 
EMC2,Einsteinium,einsteinium,59835847.56858894,Currencies,Payments,Blockchain with rewards for scientific innovation,Einsteinium is a Bitcoin fork that reserves a portion of mining rewards for funding scientific research. 
HEGIC,Hegic,hegic,59691553.91029911,Derivatives,Financial,Peer-to-peer options trading protocol,Hegic is an on-chain protocol enabling peer-to-peer options trading on Ethereum powered by liquidity pools and hedge contracts.
DRGN,Dragonchain,dragonchain,59305071.35523872,Enterprise and BaaS,Infrastructure,Business focused blockchain ecosystem,Dragonchain a commercial blockchain optimized for rapid development and deployment of blockchain applications.
SBD,Steem Dollars,steem-dollars,58657806.99715278,Stablecoins,Payments,A tokenized social media platform,eSteem is a blockchain-based social media platform that pays users and content creators with SBD. 
LDO,Lido DAO,lido-dao,58551046.81454726,Derivatives,Financial,,
OM,MANTRA DAO,mantra-dao,58205362.862149015,Lending,Financial,"Polkadot-based DeFi platform for staking, lending, and governance",
BAX,BABB,babb-1,57649354.8270684,,,,
DSLA,DSLA,dsla,57298560.44945091,Asset Management,Services,,
STOX,Stox,stox,57017438.81041631,,,Prediction market,
DAG,Constellation Labs,constellation-labs,56753076.67586363,Data Management,Services,Blockchain protocol,
DUSK,Dusk Network,dusk-network,56676290.15132012,Smart Contract Platforms,Infrastructure,A protocol for supporting security token offerings,Dusk Network is a blockchain protocol designed to support the development and deployment of security tokens. 
LBC,LBRY Credits,lbry-credits,56644721.42340119,Content Creation and Distribution,Media and Entertainment,A blockchain for peer-to-peer content distribution,"LBRY is a secure, peer-to-peer content distribution network for all content and media types. "
AERGO,Aergo,aergo,56557409.18095674,Enterprise and BaaS,Infrastructure,Enterprise blockchain,
SFI,SFI,sfi,,,,,
NXS,Nexus,nexus-2,55861532.08619174,Enterprise and BaaS,Infrastructure,DApp and contract platform built on a seven-layer software stack,"Nexus is a community-driven project with the common vision of a world inspired by innovative and responsible values, expansive technology, and the fundamental quality of connection being ubiquitous, free, and available to everyone."
QQQ,Poseidon Network,poseidon-network,55662814.35858339,,,,
API3,API3,api3,55398065.586513184,Data management,Services,Decentralized APIs for Web3,"API3 is a collaborative project to deliver traditional API services to smart contract platforms in a decentralized and trust-minimized way. It is governed by a decentralized autonomous organization (DAO), namely the API3 DAO. Therefore, API3's code is open source and its operations are transparent."
BTU,BTU Protocol,btu-protocol,54856464.462661944,Rewards,Payments,,
DGD,DigixDAO,digixdao,54799414.62941543,Tokenization,Financial,Decentralized governance of tokenized physical assets,Digix is building a decentralized autonomous organization (DAO) for the governance of a network focused on tokenizing physical assets.
PCX,ChainX,chainx,54137495.51635172,Interoperability,Infrastructure,,
SPI,Shopping.io,shopping-io,53952473.10064972,Rewards,Payments,Utility discount token,
CTXC,Cortex,cortex,53255090.46160322,AI,Services,Decentralized AI Autonomous System,
UPP,Sentinel Protocol,sentinel-protocol,52946857.30345949,Security,Services,,
GHST,Aavegotchi,aavegotchi,52607149.825244255,Gaming,Media and Entertainment,DeFi-enabled Crypto Collectibles Collect,"Aavegotchis are crypto-collectibles living on the Ethereum blockchain, backed by the ERC721 standard. Aavegotchis possess three attributes that determine their overall value and rarity within the Aavegotchi universe – collateral stake, traits, and wearables."
FSN,Fusion,fusion,51463497.51413634,Interoperability,Infrastructure,An interoperability smart contracts blockchain protocol ,Fusion is a connected ecosystem designed to power the next wave of financial innovation on the blockchain through decentralized interoperability and asset digitization with time value.
FRONT,Frontier,frontier,51365788.100014366,Asset Management,Infrastructure,A chain-agnostic DeFi aggregation layer,"Frontier is a decentralized finance (DeFi) aggregation layer that will allow users to manage their assets across multiple blockchains and DeFi applications. The network already has support for various applications on Ethereum, Binance Chain, BandChain, Kava, and Harmony, among others. Frontier chain-based services and applications aim to provide users with the ability to participate in staking across multiple networks, provide liquidity to integrated applications, and swap assets between chains. FRONT is the native asset of the Frontier chain. It will serve several roles within the network, such as helping secure Fronter's decentralized key management system and giving users access to protocol governance rights."
cUSD,Celo Dollar,celo-dollar,50552963.468106605,Stablecoins,Payments,,"Celo Dollars (cUSD) are a stablecoins that follow the US Dollar and are native to the Celo blockchain's Reserve system. The Celo Reserve is a system of smart contracts that uses a portfolio of cryptocurrencies to expand and contract the supply cUSD, similar to MakerDAO's lending protocol. cUSD is backed in part by Celo's native asset CELO, along with other digital assets, including BTC, ETH, and other stablecoins. Users can send and receive cUSD by using a wallet that supports, such as the Valora wallet, which can transfer Celo-based digital currencies directly to phone numbers."
HARD,HARD Protocol,hard-protocol,50486826.77037457,Lending,Financial,,
MITH,Mithril,mithril,50393372.62641269,Social Media,Media and Entertainment,,
STAKE,xDai,xdai,50382560.18182099,Scaling,Infrastructure,,
VITE,VITE,vite,50360862.419973224,Smart Contract Platforms,Infrastructure,,
CXO,CargoX,cargox-1,50058417.2786327,,,,
CET,CoinEx Token,coinex-token,49982197.04227491,,,,
UNFI,Unifi Protocol DAO,unifi-protocol-dao,48120228.34675298,,,,
NXT,Nxt,nxt,48052197.72228209,Smart Contract Platforms,Infrastructure,Java-based PoS cryptocurrency,Nxt is a second generation cryptocurrency coded from scratch in Java and secured by pure proof of stake consensus. 
SUKU,SUKU,suku,47389550.526024975,Enterprise and BaaS,Services,,
TRU,TrustToken,trusttoken,,,,Tokenized real world assets,TrustToken is a marketplace for tokenized real-world assets and digitized fiduciaries with legally-binding smart contracts. 
MET,Metronome,metronome,46984493.86355824,Interoperability,Infrastructure,"An institutional-level cryptocurrency engineered for self-governance, reliability, and portability. ","Metronome (MET) is a cryptocurrency focused on making greater decentralization possible by building support for its token and smart contracts on multiple existing blockchain networks. Metronome aims to optimize for self-governance, reliability, and portability, as well as to satisfy the requirements of decentralized finance (DeFi), store-of-value (SoV), and method-of-payment applications.

The project is founded on three key design principles:

Self-governance: No undue influence from founders after the initial launch and public access
Reliability and predictability: Issuance and supply are immutable
Portability: Can help decentralize token ownership across different blockchains"
GXC,GXChain,gxchain,46843968.22891289,Data Management,Services,,GXChain is developing a peer-to-peer data marketplace where users can store and exchange their data. GXChain is planning to utilize a blockchain network combined with a mobile application that will enable users to generate a unique digital identity to manage their personal data.
VTC,Vertcoin,vertcoin,46088059.301627256,Currencies,Payments,A Proof-of-Work cryptocurrency optimizing for GPU mining,Vertcoin is an open-source payment protocol similar to Bitcoin that optimizes for GPU miners.
DBC,DeepBrain Chain,deepbrain-chain,46066451.62243436,AI,Services,Artificial Intelligence Blockchain Driven Computing Platform,
MOC,Moss Coin,moss-coin,45612549.65712205,Virtual and Augmented Reality,Media and Entertainment,,
BURST,Burst,burst,45525004.347293586,Smart Contract Platforms,Infrastructure,,
DOCK,Dock,dock,45368834.55938709,Data Management,Services,Decentralized data exchange powered by Ethereum,
VSYS,V Systems,v-systems,45117062.1610721,Application Development,Infrastructure,A general purpose blockchain database for decentralized applications,"A blockchain database for decentralized applications. The Vsys model uses a supernode-based consensus model that resolves the issues presented by “vanilla” proof of stake. By incentivizing network participation and node hardware upgrades, the VSYS Supernode Proof-of-Stake (SPoS) consensus model rewards both supernodes and VSYS coin owners while ensuring network integrity and delivering high scalability and transaction throughput."
CVT,CVT,cvt,,Currencies,Payments,,
ARMOR,ARMOR,armor,43507093.04737154,Asset Management,Financial,,
PPC,Peercoin,peercoin,43297539.78012425,Currencies,Payments,,
FARM,Harvest Finance,harvest-finance,43175358.1961127,Asset Management,Financial,,Harvest Finance is an asset management platform which seeks to maximize yield for assets deposited into Harvest vaults. The protocols vaults execute various yield farming strategies; the profits from these strategies are split between liquidity providers and rewarding users staked in their profit sharing pool.
DMT,DMarket,dmarket,42567687.38857072,Gaming,Media and Entertainment,Marketplace for digital videogame items,
ULT,Ultiledger,ultiledger,42274788.25640435,,,,
KYL,Kylin Network,kylin-network,42160708.95548222,Data Management,Infrastructure,,
BMI,Bridge Mutual Coin,bridge-mutual-coin,41121385.43591211,Decentralized Exchanges,Financial,,
CONV,Convergence,convergence,40740028.040000744,Decentralized Exchanges,Financial,,
SENT,Sentinel,sentinel,40583978.176537566,Shared Compute,Services,,
HPT,Huobi Pool Token,huobi-pool-token,39772290.726468645,,,,
DERO,Dero,dero,39609988.50860121,Smart Contract Platforms,Infrastructure,,
